Scenario,Total_Population,Total_Cost,Avg_Cost_Per_Person,Median_Cost_Per_Person,Screened_Count,Unscreened_Count,Avg_Cost_Screened,Avg_Cost_Unscreened,Net_Savings_From_Screening
Baseline,17264,13829712.685344348,801.072328854515,469.40955126417606,3305,13959,1492.9402418794575,637.2623530290666,3961377.6865211334
Income Tightening,17264,13874591.250527397,803.6718750305489,469.40955126417606,3325,13939,1490.1447773166256,639.9210751093779,3965128.4813718377
Admin Churn,17264,13828946.599694712,801.0279541065056,469.40955126417606,3201,14063,1491.6378100538025,643.8323238080418,4279481.33973027
