GEOID,45to49_Screening_Adjustment,50to54_Screening_Adjustment,55to59_Screening_Adjustment,60to61_Screening_Adjustment,62to64_Screening_Adjustment,65to66_Screening_Adjustment,67to69_Screening_Adjustment,70to74_Screening_Adjustment,75to79_Screening_Adjustment,Insured_Screening_Adjustment,Uninsured_Screening_Adjustment,White_NonHispanic_Screening_Adjustment,Black_NonHispanic_Screening_Adjustment,Hispanic_Latino_Screening_Adjustment,Asian_NonHispanic_Screening_Adjustment,AIAN_NonHispanic_Screening_Adjustment,NHOPI_NonHispanic_Screening_Adjustment,SomeOther_NonHispanic_Screening_Adjustment,TwoOrMore_NonHispanic_Screening_Adjustment,Under25_Screening_Adjustment,Less_than_9th_Grade_Screening_Adjustment,9th_to_12th_Grade_No_Diploma_Screening_Adjustment,High_School_Graduate_Screening_Adjustment,Some_College_No_Degree_Screening_Adjustment,Associates_Degree_Screening_Adjustment,Bachelors_Degree_Screening_Adjustment,Masters_Degree_Screening_Adjustment,Professional_Beyond_Masters_Screening_Adjustment,Less10k_Screening_Adjustment,10to15k_Screening_Adjustment,15to20k_Screening_Adjustment,20to25k_Screening_Adjustment,25to30k_Screening_Adjustment,30to35k_Screening_Adjustment,35to40k_Screening_Adjustment,40to45k_Screening_Adjustment,45to50k_Screening_Adjustment,50to60k_Screening_Adjustment,60to75k_Screening_Adjustment,75to100k_Screening_Adjustment,100to125k_Screening_Adjustment,125to150k_Screening_Adjustment,150to200k_Screening_Adjustment,200kplus_Screening_Adjustment
1400000US51810041400,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51810042600,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51810046214,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51810045805,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51810046220,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51810044004,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51810042400,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51740211400,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51810041600,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51810041801,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51810046219,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51810045601,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51810045415,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51810042000,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51810042201,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51810046400,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51810043004,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51810045427,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51810045428,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51810042202,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51810042801,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51810045421,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51810045422,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51810990100,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51810040000,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51810040200,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51740211500,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51740211600,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51740211700,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51740211800,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51740212000,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51740212100,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51740980100,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51700031200,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51700031300,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51700031603,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51700032134,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51700032227,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51700032133,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51700032228,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51700031604,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51810045426,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51700031400,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51700031500,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51700031602,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51810046016,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51810046014,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51810046221,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51810046223,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51810046222,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51810046225,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51810045603,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51740212500,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
1400000US51650010312,0.29,0.55,0.68,0.8,0.8,0.91,0.91,0.91,0.85,1.0,0.39,1.0,1.03,0.75,0.78,0.85,0.85,0.85,0.9,0.65,0.72,0.72,0.9,0.92,0.95,0.97,1.03,1.03,0.88,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.99,0.99,1.0,1.02,1.02,1.02,1.02
