GEOID,BREAST_SCREEN_RATE
1400000US51810045605,76.8
1400000US51810044201,73.9
1400000US51700032128,71.0
1400000US51700032126,58.3
1400000US51700032225,66.8
1400000US51810040406,72.5
1400000US51810046020,69.2
1400000US51810046019,76.8
1400000US51810040405,67.8
1400000US51810045429,68.9
1400000US51810045431,76.0
1400000US51810045434,81.3
1400000US51810044005,72.0
1400000US51810045433,72.8
1400000US51810045432,72.6
1400000US51810046018,72.5
1400000US51810041804,78.1
1400000US51810046017,75.9
1400000US51810045430,63.9
1400000US51810044006,72.7
1400000US51810043005,87.2
1400000US51810041803,80.0
1400000US51810043006,83.5
1400000US51800075302,78.9
1400000US51800075502,77.3
1400000US51800075702,78.9
1400000US51800075601,73.2
1400000US51800075203,77.6
1400000US51800075602,78.9
1400000US51800075405,78.3
1400000US51800075801,75.0
1400000US51800075301,83.4
1400000US51199990100,50.8
1400000US51199050203,77.0
1400000US51710003300,72.9
1400000US51710002200,79.3
1400000US51710990000,50.8
1400000US51710004400,68.2
1400000US51710004500,75.4
1400000US51710004600,63.8
1400000US51710004700,70.6
1400000US51710004900,77.2
1400000US51710005000,67.4
1400000US51710005100,67.3
1400000US51710000700,74.4
1400000US51710006502,81.0
1400000US51710005500,68.3
1400000US51710005601,75.4
1400000US51710005602,69.0
1400000US51710005701,68.4
1400000US51710005800,77.2
1400000US51710002600,64.0
1400000US51710003501,68.3
1400000US51710006501,66.4
1400000US51710000300,74.8
1400000US51710000202,70.3
1400000US51710000201,68.1
1400000US51710005702,77.5
1400000US51710001300,71.4
1400000US51710004800,57.3
1400000US51710007001,64.2
1400000US51710000100,73.8
1400000US51700032124,74.0
1400000US51710006901,73.8
1400000US51710006902,76.3
1400000US51710007002,78.9
1400000US51095080402,80.8
1400000US51095080102,63.5
1400000US51095080202,80.9
1400000US51550021103,76.0
1400000US51650011001,80.2
1400000US51650010503,71.2
1400000US51650010504,71.3
1400000US51650010316,72.5
1400000US51650010315,73.9
1400000US51650011002,69.7
1400000US51700032113,74.9
1400000US51650990100,50.8
1400000US51650010314,74.9
1400000US51650010311,77.0
1400000US51199050208,71.7
1400000US51199050207,52.3
1400000US51700032132,74.7
1400000US51700032226,67.4
1400000US51700030300,69.6
1400000US51700032005,77.3
1400000US51700030100,62.9
1400000US51700030400,64.2
1400000US51700030600,63.4
1400000US51700030800,66.5
1400000US51700032007,76.9
1400000US51700032223,71.0
1400000US51650012100,78.5
1400000US51800065500,65.3
1400000US51800065100,66.7
1400000US51550020812,76.0
1400000US51181860100,73.4
1400000US51181860200,78.0
1400000US51620090100,78.4
1400000US51620090200,66.1
1400000US51093280105,73.0
1400000US51093280104,78.3
1400000US51175200100,75.1
1400000US51175200200,75.0
1400000US51175200500,74.6
1400000US51175200300,68.8
1400000US51550020700,73.9
1400000US51550020903,76.4
1400000US51550021005,71.0
1400000US51650010307,79.9
1400000US51550021101,78.8
1400000US51550020907,76.5
1400000US51550020912,74.7
1400000US51550020909,75.0
1400000US51550020908,80.2
1400000US51550021305,72.4
1400000US51550021303,73.4
1400000US51550021304,72.9
1400000US51550021406,76.8
1400000US51550021604,80.8
1400000US51550021503,80.0
1400000US51550021504,77.7
1400000US51550021505,75.5
1400000US51550021605,79.9
1400000US51550021015,79.8
1400000US51550021016,79.0
1400000US51550020814,76.3
1400000US51550020811,77.2
1400000US51550020910,67.6
1400000US51550021014,74.9
1400000US51550020810,77.3
1400000US51550021405,63.5
1400000US51550021306,74.3
1400000US51830370200,76.5
1400000US51830370300,76.9
1400000US51830370100,81.0
1400000US51550021401,75.8
1400000US51550021402,75.3
1400000US51550021403,67.6
1400000US51650010310,76.0
1400000US51650010400,72.0
1400000US51650010200,60.1
1400000US51550021602,74.1
1400000US51550021301,76.2
1400000US51650010601,63.8
1400000US51650010602,72.5
1400000US51650010701,68.1
1400000US51650010702,70.2
1400000US51650010309,70.0
1400000US51650010103,78.0
1400000US51650010502,70.7
1400000US51650010306,74.8
1400000US51650010304,75.0
1400000US51650010104,72.9
1400000US51650010800,77.0
1400000US51650010703,79.1
1400000US51650010900,75.8
1400000US51650011100,84.6
1400000US51650011200,73.6
1400000US51650011300,70.4
1400000US51650011400,71.5
1400000US51650011500,79.3
1400000US51650011600,73.9
1400000US51650011800,71.8
1400000US51093280106,74.1
1400000US51650011900,71.7
1400000US51650012000,71.8
1400000US51550020100,67.6
1400000US51550020200,71.1
1400000US51550020300,60.3
1400000US51550021010,80.0
1400000US51700032211,76.7
1400000US51550020600,75.0
1400000US51700031702,74.6
1400000US51700031901,78.5
1400000US51700031902,76.5
1400000US51700032131,77.3
1400000US51700032300,50.9
1400000US51810046015,73.4
1400000US51810045424,72.9
1400000US51810046224,74.2
1400000US51810045425,75.2
1400000US51800065200,77.9
1400000US51073100202,73.5
1400000US51073100302,74.0
1400000US51073100301,71.9
1400000US51073100201,75.5
1400000US51073100203,75.6
1400000US51073100500,75.7
1400000US51073100400,74.8
1400000US51810042802,72.2
1400000US51810043002,80.5
1400000US51810043200,62.0
1400000US51810043400,86.6
1400000US51810043600,84.8
1400000US51199050303,78.6
1400000US51199050304,79.4
1400000US51199050402,79.1
1400000US51810044401,80.5
1400000US51810044402,82.2
1400000US51810044600,80.7
1400000US51810044805,71.0
1400000US51810040403,72.4
1400000US51810040404,80.3
1400000US51810044806,69.4
1400000US51810040600,68.6
1400000US51810040801,69.8
1400000US51810040802,72.1
1400000US51810044807,70.3
1400000US51810044808,70.3
1400000US51810041003,75.4
1400000US51810045200,65.0
1400000US51810045405,71.7
1400000US51093280107,75.8
1400000US51093280108,70.0
1400000US51710000901,62.8
1400000US51710000902,58.3
1400000US51199050305,79.1
1400000US51740210200,72.7
1400000US51740212801,68.8
1400000US51735340200,76.9
1400000US51735340300,75.3
1400000US51735990100,50.8
1400000US51735340100,81.5
1400000US51095080203,82.3
1400000US51095080205,75.4
1400000US51095080304,83.8
1400000US51740212400,66.9
1400000US51550020804,77.3
